step,g_front_min,g_rear_min,g_required,g_lead,g_follow,g_available,feasible
400,7,4.5,81.4,90.9,16.6,16.9,956.4,False
400,8,19.5,19.7,44.2,995.3,32.0,962.7,True
400,9,5.7,18.6,29.3,2.1,62.9,925.0,False
400,10,11.5,29.2,45.8,30.5,996.4,963.0,True
400,11,11.2,8.3,24.6,34.1,63.3,892.5,True
400,12,8.3,177.1,190.4,26.0,649.4,314.5,True
400,13,25.1,8.1,38.1,32.3,57.4,900.3,True
400,14,8.1,180.2,193.3,26.4,618.0,345.6,True
400,0,23.5,31.0,59.6,84.7,36.5,868.8,True
400,1,410.6,66.6,482.2,39.7,174.7,775.6,False
400,2,65.2,26.1,96.3,174.7,186.8,628.5,True
400,3,27.6,26.1,58.7,126.2,55.6,808.2,True
400,4,26.8,20.5,52.3,97.1,5.6,887.2,False
400,5,20.5,32.4,57.9,5.6,93.5,890.8,False
400,6,26.0,70.9,101.9,38.6,5.7,945.7,False
400,7,56.5,19.5,81.0,5.7,104.0,880.3,False
400,8,29.9,26.0,60.9,60.6,38.6,890.8,True
400,9,19.5,147.2,171.7,46.7,105.4,838.0,False
400,10,4.5,97.6,107.1,2.1,111.2,876.7,False
400,11,64.6,332.5,402.1,111.2,160.9,717.9,False
400,12,100.4,4.5,109.9,105.4,2.1,882.5,False
400,13,4.5,691.4,700.9,232.4,39.7,717.9,False
400,14,100.5,19.5,125.0,63.0,46.7,880.3,False
500,0,31.2,37.2,73.4,37.7,2.4,949.8,False
500,1,35.1,34.4,74.6,621.6,196.8,171.7,True
500,2,59.6,34.4,99.0,102.1,89.6,798.2,True
500,3,34.5,70.8,110.3,45.0,52.1,892.9,False
500,4,34.4,31.2,70.7,146.8,37.7,805.5,True
500,5,18.4,114.5,137.8,40.7,19.1,930.2,False
500,6,36.1,18.4,59.5,2.4,40.7,946.9,False
500,7,13.3,106.0,124.3,8.2,33.5,948.3,False
500,8,4.5,222.0,231.5,16.9,599.7,373.4,True
500,9,8.4,149.7,163.1,41.6,0.1,948.3,False
500,10,4.5,222.0,231.5,24.8,569.9,395.3,True
500,11,80.3,13.3,98.6,19.1,8.2,962.7,False
500,12,4.5,222.0,231.5,24.6,540.3,425.1,True
500,13,97.5,5.5,107.9,0.1,106.3,883.6,False
500,14,5.6,210.1,220.6,25.1,510.2,454.7,True
500,0,62.0,58.0,125.0,148.4,19.6,822.0,False
500,1,39.5,9.0,53.5,38.1,143.9,808.0,False
500,2,156.2,71.1,232.3,23.5,148.4,818.1,False
500,3,56.5,47.5,109.0,19.6,96.0,874.4,False
500,4,34.6,70.4,110.0,997.4,50.0,942.5,False
500,5,47.5,34.6,87.1,96.0,997.4,896.6,True
500,6,4.5,173.4,182.9,80.6,101.9,807.5,False
500,7,59.3,18.7,83.1,50.0,40.3,899.7,False
500,8,18.7,210.1,233.8,40.3,7.4,942.3,False
500,9,9.1,31.3,45.5,12.0,170.8,807.2,True
500,10,23.0,17.4,45.5,116.3,49.5,824.2,True
500,11,36.4,49.0,90.4,294.7,38.1,657.2,False
